2020-12-02 09:42:38.433 | INFO     | api.utils.ReadConfig:read_server_config:23 - http://localhost:8888/api/private/v1/
2020-12-02 09:42:38.433 | INFO     | api.utils.ReadConfig:read_response_reg:30 - 从响应中提取的token表达式：$.data.token
2020-12-02 09:42:38.433 | INFO     | api.utils.ReadConfig:read_response_reg:31 - 从响应提取的需要校验的表达式：$.meta
2020-12-02 09:42:38.438 | INFO     | api.utils.ReadData:get_data:32 - ('case_001', 'get请求实现登录', 'login', '', 'get', 'params', '', '', '', '', '{"username": "admin", "password": ""}', '{\n        "msg": "参数错误",\n        "status": 400\n    }')
2020-12-02 09:42:38.439 | INFO     | api.utils.ReadData:get_data:32 - ('case_002', 'post请求实现登录', 'login', '写', 'post', 'data', '', '', '', '', '{"username": "admin", "password": "123456"}', '{\n        "msg": "登录成功",\n        "status": 200\n    }')
2020-12-02 09:42:38.441 | INFO     | api.utils.ReadData:get_data:32 - ('case_003', 'get请求查询用户数据列表', 'users', '读', 'get', 'params', '', '', '', 'key={"case_002": ["$.data.id"],"case_001":["$.meta.msg","$.meta.status"]}', '{"pagenum": 1, "pagesize": "12"}', '{"msg": "获取管理员列表成功", "status": 200}')
2020-12-02 09:42:38.442 | INFO     | api.utils.ReadData:get_data:32 - ('case_004', 'get请求查询用户数据列表', 'users', '', 'get', 'data', '', '', '', '{"case_002": ["$.data.id"],"case_001":["$.meta.msg","$.meta.status"]}', '{"pagenum": 1, "pagesize": "12"}', '{"msg": "获取管理员列表成功", "status": 200}')
2020-12-02 09:42:38.443 | INFO     | api.utils.ReadData:get_data:32 - ('case_005', '添加用户正常接口数据', 'users', '读', 'post', 'data', '', '', '', '', '{"username": "tester_zy7y1213","password": "123456"}', '{"msg":"创建成功","status":201}')
2020-12-02 09:42:38.443 | INFO     | api.utils.ReadData:get_data:32 - ('case_006', '修改用户状态接口', 'users', '读', 'put', 'data', '', '', '/{"case_005":"$.data.id"}/state/{"case_005":"$.data.create_time"}', '', '', '{"msg": "设置状态成功", "status": 200}')
2020-12-02 09:42:38.443 | INFO     | api.utils.ReadData:get_data:32 - ('case_007', '修改用户状态为2', 'users', '读', 'put', 'data', '', '', '/{"case_005":"$.data.id"}/state/2', '', '', '{"msg": "设置状态成功", "status": 200}')
2020-12-02 09:42:38.443 | INFO     | api.utils.ReadData:get_data:32 - ('case_008', '删除用户zy7y', 'users', '读', 'delete', 'params', '', '', '/{"case_005":"$.data.id"}', '', '', '{"msg": "删除成功", "status": 200}')
